janpad,totalGP,musterGP,dysfunctionalGP,labourAll,mrAll,noEkyc,mrs,ongoingAll,labourIndividual,mrIndividual,labourCommunity,mrCommunity,pmayOngoing,pmayMR,ekLabour,ekOngoing,ekMR,pmayLabour
AMARPATAN,75,70,5,316,209,0,209,1525,250,191,77,16,170,170,30,21,21,220
MAIHAR,115,88,27,360,242,0,242,2726,278,222,61,9,208,208,28,12,12,244
RAMNAGAR,55,42,13,235,140,0,145,1231,156,133,70,6,125,125,15,8,8,141
MAJHGAWAN,96,74,22,284,133,0,136,2412,154,110,181,27,91,91,25,8,8,112
NAGOD,94,53,41,217,171,0,171,2505,196,165,104,6,157,157,17,8,8,179
RAMPUR BAGHELAN,97,63,34,245,192,0,192,3446,213,186,103,17,180,180,12,6,6,201
SATNA,93,70,23,245,128,0,128,1071,119,95,268,51,74,74,33,20,20,84
UNCHAHARA,70,49,21,204,117,0,120,1957,132,110,37,7,82,82,37,25,25,90
